tic,eligible_non_toi_ctoi_rank,batch_offset,batch_count
315301271,139,80,160
320208632,140,80,160
257398691,141,80,160
323057249,142,80,160
52183206,143,80,160
422846384,144,80,160
461635002,145,80,160
298336896,146,80,160
158534472,147,80,160
166832907,148,80,160
47973606,149,80,160
167812509,150,80,160
8347680,151,80,160
158032985,152,80,160
467465371,153,80,160
271883146,154,80,160
94368565,155,80,160
28069786,156,80,160
67402669,157,80,160
317837723,158,80,160
459181676,159,80,160
441466487,160,80,160
156171605,161,80,160
121305264,162,80,160
240821194,163,80,160
122136861,164,80,160
80859893,165,80,160
31792609,166,80,160
78449800,167,80,160
165162636,168,80,160
147207061,169,80,160
156491690,170,80,160
166073877,171,80,160
114504403,172,80,160
283784435,173,80,160
17562763,174,80,160
288953054,175,80,160
220146061,176,80,160
290647853,177,80,160
322777970,178,80,160
85462495,179,80,160
157853745,180,80,160
20305594,181,80,160
9882031,182,80,160
36202057,183,80,160
362253884,184,80,160
401532771,185,80,160
179232002,186,80,160
289719891,187,80,160
281193283,188,80,160
198104202,189,80,160
325278705,190,80,160
231973593,191,80,160
452465896,192,80,160
382521361,193,80,160
146428154,194,80,160
458453130,195,80,160
27416154,196,80,160
126319133,197,80,160
366174207,198,80,160
364075630,199,80,160
466538554,200,80,160
445863003,201,80,160
286898565,202,80,160
172601525,203,80,160
32050414,204,80,160
38698751,205,80,160
57185991,206,80,160
407657403,207,80,160
85644939,208,80,160
137729107,209,80,160
71262585,210,80,160
365949661,211,80,160
242064626,212,80,160
88722227,213,80,160
441507745,214,80,160
7150628,215,80,160
24186139,216,80,160
297905922,217,80,160
1630433,218,80,160
366872042,219,80,160
103632048,220,80,160
39464614,221,80,160
15420746,222,80,160
219775481,223,80,160
141154638,224,80,160
386740034,225,80,160
436631912,226,80,160
389902064,227,80,160
448939026,228,80,160
329291443,229,80,160
113425376,230,80,160
258399091,231,80,160
459255955,232,80,160
307616783,233,80,160
316976049,234,80,160
278614475,235,80,160
120609299,236,80,160
229647609,237,80,160
53897002,238,80,160
250834020,239,80,160
60421412,240,80,160
268626115,241,240,260
250189641,242,240,260
15231995,243,240,260
142940412,244,240,260
188691615,245,240,260
311931991,246,240,260
7723060,247,240,260
290183543,248,240,260
207339690,249,240,260
302444623,250,240,260
341787179,251,240,260
207492082,252,240,260
22872366,253,240,260
235711434,254,240,260
229575381,255,240,260
457748137,256,240,260
179279545,257,240,260
203476189,258,240,260
138560336,259,240,260
286332367,260,240,260
306262188,261,240,260
316880751,262,240,260
67072736,263,240,260
309707247,264,240,260
170636897,265,240,260
24344174,266,240,260
159584661,267,240,260
209394625,268,240,260
253790710,269,240,260
249744004,270,240,260
21650187,271,240,260
189565557,272,240,260
238010220,273,240,260
39084331,274,240,260
183588144,275,240,260
160264738,276,240,260
105577069,277,240,260
230437453,278,240,260
268337013,279,240,260
415009765,280,240,260
450348875,281,240,260
371901012,282,240,260
149423103,283,240,260
371867468,284,240,260
382461771,285,240,260
308664596,286,240,260
117489874,287,240,260
55752859,288,240,260
383553281,289,240,260
289589923,290,240,260
424389265,291,240,260
165122755,292,240,260
117123283,293,240,260
154567574,294,240,260
23872097,295,240,260
144654557,296,240,260
448416124,297,240,260
238034112,298,240,260
286945883,299,240,260
313625338,300,240,260
284190375,301,240,260
3818153,302,240,260
200924141,303,240,260
441803471,304,240,260
99329966,305,240,260
283869316,306,240,260
132157954,307,240,260
148497173,308,240,260
376935746,309,240,260
103581155,310,240,260
427466954,311,240,260
137605535,312,240,260
429000467,313,240,260
347308021,314,240,260
44739264,315,240,260
277771912,316,240,260
329118618,317,240,260
150387899,318,240,260
356838394,319,240,260
152475404,320,240,260
186130100,321,240,260
233640927,322,240,260
310128088,323,240,260
167525513,324,240,260
323598320,325,240,260
289909994,326,240,260
17470294,327,240,260
427809432,328,240,260
399623138,329,240,260
287254711,330,240,260
229152539,331,240,260
364181187,332,240,260
285042210,333,240,260
273589987,334,240,260
392917676,335,240,260
197987557,336,240,260
271946648,337,240,260
390465657,338,240,260
10149468,339,240,260
162239797,340,240,260
219773818,341,240,260
61334091,342,240,260
408232559,343,240,260
334519921,344,240,260
309416650,345,240,260
168767379,346,240,260
290408720,347,240,260
258280834,348,240,260
349374765,349,240,260
70901653,350,240,260
180695497,351,240,260
290777240,352,240,260
300577723,353,240,260
9069250,354,240,260
158710279,355,240,260
373985178,356,240,260
454876960,357,240,260
57186214,358,240,260
164829562,359,240,260
417767357,360,240,260
94933725,361,240,260
30943870,362,240,260
445863676,363,240,260
157631248,364,240,260
231008047,365,240,260
219704346,366,240,260
149470658,367,240,260
257798328,368,240,260
207238086,369,240,260
441721594,370,240,260
270672809,371,240,260
27351599,372,240,260
121593546,373,240,260
367598907,374,240,260
322860313,375,240,260
53523370,376,240,260
232612888,377,240,260
139651630,378,240,260
366778750,379,240,260
105513234,380,240,260
229157898,381,240,260
160227297,382,240,260
309850275,383,240,260
351697960,384,240,260
274393297,385,240,260
142086813,386,240,260
86265580,387,240,260
459211861,388,240,260
156152779,389,240,260
38541212,390,240,260
440955956,391,240,260
278615421,392,240,260
156152778,393,240,260
272748597,394,240,260
357509778,395,240,260
416576682,396,240,260
161028382,397,240,260
175456846,398,240,260
148968978,399,240,260
287148041,400,240,260
286944183,401,240,260
9200076,402,240,260
22007699,403,240,260
206361339,404,240,260
289972535,405,240,260
365967778,406,240,260
9825486,407,240,260
23580752,408,240,260
166088525,409,240,260
232981773,410,240,260
31704987,411,240,260
155441032,412,240,260
441410570,413,240,260
224289450,414,240,260
129365196,415,240,260
39980837,416,240,260
436230630,417,240,260
22413602,418,240,260
101717144,419,240,260
231815113,420,240,260
231917352,421,240,260
264178910,422,240,260
219881072,423,240,260
